year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1990,3233873700.0,0.0,0.0,15133795000.0,1697132700.0,403098720.0,2803349500.0,0.0,0.0,3189194.0,0.0,23274439000.0,3457876500.0,0.0,58910060.0,9809495000.0,6524290600.0,74454080.0,0.0,468833340.0,2357157600.0,415605060.0,70135710.0,23236758000.0,37680240.0,5.73,3541036500.0,0.0,15060166000.0,1633343200.0,12388137.0,2804882700.0,0.0,0.0,23051815000.0,3392902000.0,0.0,9886846000.0,6522909000.0,405423230.0,0.0,479891230.0,2333254100.0,23021226000.0,30589856.0,5.23
1991,10303667000.0,0.0,0.0,57544640000.0,5849459700.0,1572994000.0,5918414000.0,0.0,0.0,12346316.0,0.0,81201520000.0,7059529000.0,0.0,239291630.0,37184967000.0,23569877000.0,139479780.0,0.0,1999483400.0,8959899000.0,1693468800.0,326458620.0,81172455000.0,29068032.0,0.65,8917304000.0,0.0,47098730000.0,4527793000.0,33458816.0,4917765000.0,0.0,0.0,65495050000.0,5714009000.0,0.0,30870299000.0,19347771000.0,647556400.0,0.0,1690195700.0,7266188000.0,65536020000.0,-40971010.0,-0.84
1992,19269974000.0,0.0,0.0,115775170000.0,12104253000.0,3250735000.0,11836742000.0,0.0,0.0,25135320.0,0.0,162262000000.0,13133395000.0,0.0,488939650.0,74844480000.0,47078850000.0,260379540.0,0.0,4011710000.0,18248985000.0,3434216200.0,728760060.0,162229710000.0,32287232.0,0.4,17953626000.0,0.0,105070140000.0,10254089000.0,70996510.0,10760399000.0,0.0,0.0,144109260000.0,11598801000.0,0.0,68890360000.0,42613723000.0,1009003400.0,0.0,3787779800.0,16327838000.0,144227500000.0,-118256130.0,-1.39
1993,20368255000.0,0.0,0.0,123050710000.0,13949642000.0,3444635100.0,15758864000.0,0.0,0.0,27067236.0,0.0,176599170000.0,16655746000.0,0.0,521058660.0,79635990000.0,51062845000.0,314154020.0,0.0,4117790000.0,19909464000.0,3604673800.0,767726500.0,176589460000.0,9723904.0,0.08,20597990000.0,0.0,122379510000.0,13008635000.0,87389760.0,15579536000.0,0.0,0.0,171653050000.0,16167265000.0,0.0,80302480000.0,50528666000.0,1031081340.0,0.0,4253712100.0,19470615000.0,171753820000.0,-100756480.0,-0.86
1994,22582516000.0,0.0,0.0,139411830000.0,15635443000.0,3855389400.0,18279310000.0,0.0,0.0,30728356.0,0.0,199795210000.0,18155737000.0,0.0,595137800.0,90248680000.0,58034217000.0,360294620.0,0.0,4616119300.0,22872550000.0,4085630000.0,864443800.0,199832810000.0,-37603330.0,-0.22999999,24497043000.0,0.0,150197470000.0,15802078000.0,103955930.0,19519216000.0,0.0,0.0,210119770000.0,19026370000.0,0.0,98583070000.0,62085005000.0,1138425500.0,0.0,5187881500.0,24208441000.0,210229180000.0,-109423620.0,-0.7
1995,37787790000.0,0.0,0.0,233265280000.0,27371452000.0,6511794700.0,35083715000.0,0.0,0.0,51769124.0,0.0,340071800000.0,34033695000.0,0.0,1002537700.0,151137930000.0,98412640000.0,682387800.0,0.0,7624222700.0,38956364000.0,6872602000.0,1431307500.0,340153700000.0,-81888260.0,-0.45,37608980000.0,0.0,231616090000.0,25671746000.0,165270130.0,34443563000.0,0.0,0.0,329505640000.0,32884058000.0,0.0,152167170000.0,96982410000.0,1683432300.0,0.0,7903786500.0,37985860000.0,329606730000.0,-101070850.0,-0.57
1996,41197690000.0,0.0,0.0,248561610000.0,29985626000.0,6935757000.0,41527038000.0,0.0,0.0,55534640.0,0.0,368263270000.0,39033446000.0,0.0,1077068400.0,161119730000.0,106851680000.0,769142460.0,0.0,8230004700.0,42446130000.0,7366709000.0,1502933000.0,368396830000.0,-133570560.0,-0.56,43852755000.0,0.0,264710550000.0,30254735000.0,194021630.0,43914883000.0,0.0,0.0,382926950000.0,40604600000.0,0.0,173998030000.0,112917610000.0,1828617200.0,0.0,9187135000.0,44424030000.0,382960000000.0,-33069056.0,-0.17
1997,76825534000.0,0.0,0.0,458529540000.0,56165500000.0,12846010000.0,79234654000.0,0.0,0.0,102824530.0,0.0,683704060000.0,73817310000.0,0.0,1999902200.0,297190520000.0,198676550000.0,1422119400.0,0.0,15457556000.0,79034670000.0,13711113000.0,2803562200.0,684113300000.0,-409223170.0,-1.5699999,45007503000.0,0.0,268944360000.0,31096717000.0,204022370.0,46185440000.0,0.0,0.0,391438040000.0,42041475000.0,0.0,176780560000.0,115686560000.0,1788050300.0,0.0,9525974000.0,45614764000.0,391437400000.0,655360.0,-0.01
1998,84821490000.0,0.0,0.0,502174580000.0,62956410000.0,14109048000.0,94686620000.0,0.0,0.0,113312440.0,0.0,758861460000.0,86252040000.0,0.0,2196944000.0,325704880000.0,220652260000.0,1608728400.0,0.0,16874114000.0,87950220000.0,15051533000.0,3046011600.0,759336700000.0,-475277300.0,-1.52,47831940000.0,0.0,283375440000.0,33717946000.0,212467260.0,53276004000.0,0.0,0.0,418413800000.0,47539905000.0,0.0,186411420000.0,123699450000.0,1865335300.0,0.0,10008590000.0,48859083000.0,418383800000.0,30011392.0,0.099999994
1999,79688570000.0,0.0,0.0,467013930000.0,58658316000.0,13055105000.0,90267450000.0,0.0,0.0,105689096.0,0.0,708789100000.0,80341160000.0,0.0,2056132100.0,302958400000.0,206917930000.0,1527722900.0,0.0,15880765000.0,82714950000.0,14007511000.0,2812884200.0,709217500000.0,-428414980.0,-1.27,75533390000.0,0.0,445135130000.0,53618004000.0,332780030.0,86621620000.0,0.0,0.0,661240940000.0,75957840000.0,0.0,292898240000.0,196072980000.0,2902504700.0,0.0,15744670000.0,77568336000.0,661144600000.0,96327680.0,0.34
2000,55499112000.0,0.0,0.0,324002300000.0,40569057000.0,9034336000.0,62993195000.0,0.0,0.0,73446930.0,0.0,492171460000.0,55028503000.0,0.0,1434286300.0,210171900000.0,144083960000.0,1054095900.0,0.0,11264308000.0,57688630000.0,9775248000.0,1980510700.0,492481450000.0,-309968900.0,-0.8,59207030000.0,0.0,347920330000.0,41547280000.0,256051400.0,67385455000.0,0.0,0.0,516316140000.0,58056466000.0,0.0,228924980000.0,153500450000.0,2216783000.0,0.0,12671743000.0,60865323000.0,516235760000.0,80392190.0,0.21
2001,84683850000.0,0.0,0.0,497588080000.0,61371150000.0,13895207000.0,93786460000.0,0.0,0.0,112635140.0,0.0,751437350000.0,81161330000.0,0.0,2212881700.0,322648570000.0,220166010000.0,1578662900.0,0.0,17571297000.0,88361796000.0,15130182000.0,3101209300.0,751931950000.0,-494563330.0,-1.18,78957896000.0,0.0,467990480000.0,55017610000.0,339969100.0,87806984000.0,0.0,0.0,690112950000.0,74953270000.0,0.0,307849360000.0,205392220000.0,2889329400.0,0.0,17300490000.0,81636680000.0,690021340000.0,91607040.0,0.17
2002,91593790000.0,0.0,0.0,542730320000.0,66927403000.0,15191096000.0,101942480000.0,0.0,0.0,122848200.0,0.0,818507940000.0,87805920000.0,0.0,2418904300.0,351902430000.0,239631340000.0,1714807900.0,0.0,19335436000.0,96227420000.0,16552246000.0,3426809000.0,819015300000.0,-507346940.0,-1.11,85077300000.0,0.0,509100560000.0,59851493000.0,366616160.0,95335145000.0,0.0,0.0,749731100000.0,80963550000.0,0.0,334893880000.0,223035050000.0,3083558700.0,0.0,18964650000.0,88679014000.0,749619700000.0,111435780.0,0.22999999
2003,70491660000.0,0.0,0.0,419282880000.0,51984777000.0,11757151000.0,79490150000.0,0.0,0.0,95029380.0,0.0,633101600000.0,68278610000.0,0.0,1870206000.0,271897430000.0,185270630000.0,1338537900.0,0.0,14955533000.0,74420355000.0,12795657000.0,2643619300.0,633470600000.0,-368959500.0,-0.78,69311170000.0,0.0,416894320000.0,49258426000.0,299928320.0,78747255000.0,0.0,0.0,614511100000.0,66617467000.0,0.0,274272880000.0,182768760000.0,2503201800.0,0.0,15564293000.0,72681570000.0,614408200000.0,102920190.0,0.26
2004,104876840000.0,0.0,0.0,624041900000.0,77431320000.0,17481861000.0,119077960000.0,0.0,0.0,141504600.0,0.0,943051400000.0,101665210000.0,0.0,2792159200.0,404679360000.0,275903580000.0,2011444700.0,0.0,22539840000.0,110905460000.0,19132375000.0,3971735300.0,943601160000.0,-549765100.0,-1.05,91661680000.0,0.0,552376000000.0,65304460000.0,396778340.0,105077470000.0,0.0,0.0,814816400000.0,88320390000.0,0.0,363431100000.0,242324050000.0,3285793000.0,0.0,20874533000.0,96426530000.0,814662400000.0,154009600.0,0.32
2005,137268850000.0,0.0,0.0,821024260000.0,102087660000.0,22986880000.0,157531280000.0,0.0,0.0,186071280.0,0.0,1241085000000.0,133551330000.0,0.0,3682648300.0,532454080000.0,363312100000.0,2684166100.0,0.0,29566794000.0,146105060000.0,25242726000.0,5198693000.0,1241797600000.0,-712638460.0,-1.3199999,116195120000.0,0.0,704793900000.0,83506980000.0,503027700.0,134691275000.0,0.0,0.0,1039690300000.0,112438730000.0,0.0,463767240000.0,309347520000.0,4166299100.0,0.0,26572112000.0,123171635000.0,1039463500000.0,226770940.0,0.38
2006,92521820000.0,0.0,0.0,550708450000.0,69251890000.0,15451470000.0,108700750000.0,0.0,0.0,124984730.0,0.0,836759400000.0,92018590000.0,0.0,2474157000.0,357225800000.0,244897890000.0,1842116100.0,0.0,19888780000.0,98442130000.0,16951675000.0,3471408600.0,837212600000.0,-453189630.0,-0.75,83966400000.0,0.0,507180020000.0,60886140000.0,365601400.0,99745410000.0,0.0,0.0,752143560000.0,83156550000.0,0.0,333817940000.0,223765630000.0,2997180000.0,0.0,19162573000.0,89049326000.0,751949200000.0,194355200.0,0.34
2007,126775860000.0,0.0,0.0,752924360000.0,93846500000.0,21102731000.0,147886240000.0,0.0,0.0,170726430.0,0.0,1142706400000.0,124200290000.0,0.0,3391417600.0,488360740000.0,334655130000.0,2505680400.0,0.0,27449604000.0,134731325000.0,23250305000.0,4771979300.0,1143316400000.0,-610033660.0,-0.90000004,110527455000.0,0.0,666277900000.0,79208950000.0,475637440.0,130351555000.0,0.0,0.0,986841500000.0,107726586000.0,0.0,438527460000.0,293833830000.0,3904597000.0,0.0,25449228000.0,117130790000.0,986572500000.0,268980220.0,0.48
2008,110759756000.0,0.0,0.0,660155860000.0,81918500000.0,18495363000.0,128074920000.0,0.0,0.0,149516860.0,0.0,999553900000.0,107524300000.0,0.0,2977393000.0,428126540000.0,292592250000.0,2179976700.0,0.0,24155011000.0,117878630000.0,20390855000.0,4221760800.0,1000046700000.0,-492834800.0,-0.75,108173435000.0,0.0,654742200000.0,77543640000.0,466788100.0,126643446000.0,0.0,0.0,967569500000.0,104663500000.0,0.0,430890580000.0,287990580000.0,3794542000.0,0.0,25070813000.0,114881980000.0,967291960000.0,277483520.0,0.45
2009,131448920000.0,0.0,0.0,791492100000.0,97293070000.0,22140291000.0,150475600000.0,0.0,0.0,178990830.0,0.0,1193029000000.0,126027940000.0,0.0,3571707000.0,513199800000.0,349042740000.0,2585915000.0,0.0,28904612000.0,140797180000.0,24374390000.0,5085921300.0,1193590300000.0,-561180700.0,-0.85,113208820000.0,0.0,692709900000.0,81219180000.0,490593860.0,131271820000.0,0.0,0.0,1018900300000.0,108154030000.0,0.0,455788630000.0,303138730000.0,3944279000.0,0.0,26505656000.0,121085580000.0,1018616900000.0,283426800.0,0.45
2010,152280250000.0,0.0,0.0,925911600000.0,113844085000.0,25929177000.0,175021440000.0,0.0,0.0,209319860.0,0.0,1393195900000.0,146859970000.0,0.0,4180731400.0,600342270000.0,407291230000.0,2997363500.0,0.0,33495996000.0,164320230000.0,28367907000.0,5925306400.0,1393781000000.0,-585080800.0,-0.76,133175680000.0,0.0,823302000000.0,96589240000.0,583729400.0,155051820000.0,0.0,0.0,1208702500000.0,127909904000.0,0.0,541688100000.0,359343900000.0,4628266500.0,0.0,31216962000.0,143555460000.0,1208342500000.0,359907330.0,0.51
2011,109163340000.0,0.0,0.0,666261850000.0,82635530000.0,18646223000.0,128579080000.0,0.0,0.0,150815970.0,0.0,1005436860000.0,107770850000.0,0.0,3009296600.0,432116830000.0,293950880000.0,2178677200.0,0.0,23813552000.0,118448220000.0,20294752000.0,4217419800.0,1005800460000.0,-363610100.0,-0.5,98522390000.0,0.0,611712000000.0,72417124000.0,431628100.0,117515360000.0,0.0,0.0,900598460000.0,96840750000.0,0.0,402557440000.0,267701190000.0,3428357000.0,0.0,22936054000.0,106824720000.0,900288540000.0,309968900.0,0.42
2012,175744970000.0,0.0,0.0,1076076400000.0,132846360000.0,30044380000.0,205941100000.0,0.0,0.0,243501650.0,0.0,1620896800000.0,171849990000.0,0.0,4871553000.0,697859830000.0,474197520000.0,3508565500.0,0.0,38386217000.0,191223400000.0,32684933000.0,6807054300.0,1621389000000.0,-492257280.0,-0.59999996,189142710000.0,0.0,1178997600000.0,138940020000.0,829677100.0,224632500000.0,0.0,0.0,1732542500000.0,184363940000.0,0.0,775810650000.0,515281000000.0,6545843000.0,0.0,44120670000.0,205789100000.0,1731911200000.0,631291900.0,0.88
2013,118752120000.0,0.0,0.0,729211800000.0,89871745000.0,20363997000.0,138938530000.0,0.0,0.0,164982240.0,0.0,1097303100000.0,115750140000.0,0.0,3301435000.0,472903120000.0,321065160000.0,2368776200.0,0.0,26003718000.0,129463590000.0,22127129000.0,4633102000.0,1097616200000.0,-313049100.0,-0.39,106971120000.0,0.0,668785300000.0,78715060000.0,469980350.0,126937320000.0,0.0,0.0,981878800000.0,104014995000.0,0.0,440075580000.0,292070160000.0,3691061200.0,0.0,25012480000.0,116640280000.0,981504600000.0,374186000.0,0.48
2014,179279020000.0,0.0,0.0,1113205900000.0,135621450000.0,31049425000.0,207284830000.0,0.0,0.0,251386220.0,0.0,1666692000000.0,172004980000.0,0.0,5041435600.0,721730100000.0,487390940000.0,3574968000.0,0.0,39695155000.0,196789140000.0,33762423000.0,7101363000.0,1667090500000.0,-398426100.0,-0.39999998,193537560000.0,0.0,1224704000000.0,142342550000.0,858254600.0,226901150000.0,0.0,0.0,1788343500000.0,185106480000.0,0.0,805679300000.0,531727940000.0,6642837000.0,0.0,45878653000.0,212636060000.0,1787671200000.0,672284700.0,0.84
2015,146023970000.0,0.0,0.0,913656500000.0,110992430000.0,25537843000.0,168383270000.0,0.0,0.0,206132210.0,0.0,1364800200000.0,140042450000.0,0.0,4137802800.0,592312400000.0,398714500000.0,2904536000.0,0.0,32521960000.0,161014220000.0,27556026000.0,5861902300.0,1365065700000.0,-265633800.0,-0.29999998,132902216000.0,0.0,847192300000.0,98252644000.0,595395650.0,155518270000.0,0.0,0.0,1234460900000.0,127121450000.0,0.0,557277600000.0,366713470000.0,4554301400.0,0.0,31667823000.0,146648830000.0,1233983400000.0,477446140.0,0.56
2016,9873585000.0,0.0,0.0,62130807000.0,7528335400.0,1737443000.0,11339698000.0,0.0,0.0,14006564.0,0.0,92623880000.0,9435176000.0,0.0,281611260.0,40275020000.0,27042152000.0,197019710.0,0.0,2212090000.0,10926716000.0,1866759400.0,400255070.0,92636810000.0,-12926976.0,-0.01,9631110000.0,0.0,61778715000.0,7135505000.0,43449904.0,11225399000.0,0.0,0.0,89814180000.0,9172477000.0,0.0,40632193000.0,26665675000.0,329093660.0,0.0,2311144400.0,10669101000.0,89779680000.0,34496510.0,0.04
